,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5451,Cristian Balint,1,5000000.0,5000000.0,2624759,2624759.0,2624759,2624759.0,-4755603.0,-4755603.0,-2375241.0,-2375241.0
5452,Cristian Iacob,1,57000000.0,57000000.0,132563930,132563930.0,132563930,132563930.0,-5225998.0,-5225998.0,75563930.0,75563930.0
5453,Cristiani Aparecida,1,10000000.0,10000000.0,14756513,14756513.0,14756513,14756513.0,-2972238.0,-2972238.0,4756513.0,4756513.0
5454,Cristiano Bonora,1,60000000.0,60000000.0,176070171,176070171.0,176070171,176070171.0,46128601.0,46128601.0,116070171.0,116070171.0
5455,Cristin Milioti,2,101000000.0,50500000.0,394266761,197133380.5,394266761,197133380.5,18166761.0,9083380.5,293266761.0,146633380.5
5456,Cristina Brogeras,1,125000000.0,125000000.0,546388108,546388108.0,546388108,546388108.0,90409889.0,90409889.0,421388108.0,421388108.0
5457,Cristina Brondo,1,5883530.0,5883530.0,33272835,33272835.0,33272835,33272835.0,-1985731.0,-1985731.0,27389305.0,27389305.0
5458,Cristina Burbuz,1,654959.0,654959.0,10174839,10174839.0,10174839,10174839.0,543249.0,543249.0,9519880.0,9519880.0
5459,Cristina Contes,1,150000000.0,150000000.0,139789765,139789765.0,139789765,139789765.0,-88020320.0,-88020320.0,-10210235.0,-10210235.0
5460,Cristina Rosato,1,26000000.0,26000000.0,24079268,24079268.0,24079268,24079268.0,-8217822.0,-8217822.0,-1920732.0,-1920732.0
5461,Cristina Zenato,1,500000.0,500000.0,54683487,54683487.0,54683487,54683487.0,30110863.0,30110863.0,54183487.0,54183487.0
5462,Cristián de la Fuente,2,144000000.0,72000000.0,97537299,48768649.5,97537299,48768649.5,-84486624.0,-42243312.0,-46462701.0,-23231350.5
5463,Crystal Balint,1,10000000.0,10000000.0,13082071,13082071.0,13082071,13082071.0,-3099665.0,-3099665.0,3082071.0,3082071.0
5464,Crystal Bock,1,28000000.0,28000000.0,77516304,77516304.0,77516304,77516304.0,22294317.0,22294317.0,49516304.0,49516304.0
5465,Crystal Dawn Parsons,1,12700000.0,12700000.0,4292517,4292517.0,4292517,4292517.0,-9269982.0,-9269982.0,-8407483.0,-8407483.0
5466,Crystal Field,1,25000000.0,25000000.0,29934477,29934477.0,29934477,29934477.0,-7733641.0,-7733641.0,4934477.0,4934477.0
5467,Crystal Hunt,2,31300000.0,15650000.0,131433132,65716566.0,131433132,65716566.0,46605472.0,23302736.0,100133132.0,50066566.0
